Test01, Exch0Lit, 103.95,149,1,AAAA,MLOFI, {'party2': 'B11', 'party1': 'S13', 'price': 149, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.95000000000651, 'type': 'Trade'}
Test02, Exch0Lit, 100.275,130,1,AAA,AA, {'party2': 'B04', 'party1': 'S14', 'price': 130, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.27500000000568, 'type': 'Trade'}
Test02, Exch0Lit, 100.3,131,1,AAAA,AA, {'party2': 'B05', 'party1': 'S13', 'price': 131, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.30000000000568, 'type': 'Trade'}
Test02, Exch0Lit, 100.325,136,1,AAAA,MLOFI, {'party2': 'B17', 'party1': 'S17', 'price': 136, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.32500000000569, 'type': 'Trade'}
Test02, Exch0Lit, 100.425,133,1,AAAA,AA, {'party2': 'B05', 'party1': 'S10', 'price': 133, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.42500000000571, 'type': 'Trade'}
Test02, Exch0Lit, 101.35,148,1,AAA,AA, {'party2': 'B02', 'party1': 'S00', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.35000000000592, 'type': 'Trade'}
Test02, Exch0Lit, 101.45,148,1,AAA,AA, {'party2': 'B11', 'party1': 'S12', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.45000000000594, 'type': 'Trade'}
Test02, Exch0Lit, 101.65,148,1,AAAA,AA, {'party2': 'B10', 'party1': 'S08', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.65000000000599, 'type': 'Trade'}
Test02, Exch0Lit, 102.075,149,1,AAAA,MLOFI, {'party2': 'B14', 'party1': 'S05', 'price': 149, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.07500000000609, 'type': 'Trade'}
Test02, Exch0Lit, 102.175,148,1,AAAA,MLOFI, {'party2': 'B03', 'party1': 'S06', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.17500000000611, 'type': 'Trade'}
Test02, Exch0Lit, 102.2,148,1,AAAA,AA, {'party2': 'B03', 'party1': 'S18', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.20000000000611, 'type': 'Trade'}
Test02, Exch0Lit, 102.225,148,1,AAAA,MLOFI, {'party2': 'B03', 'party1': 'S03', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.22500000000612, 'type': 'Trade'}
Test02, Exch0Lit, 102.375,148,1,AAAA,MLOFI, {'party2': 'B03', 'party1': 'S04', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.37500000000615, 'type': 'Trade'}
Test02, Exch0Lit, 102.525,148,1,AAAA,MLOFI, {'party2': 'B03', 'party1': 'S15', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.52500000000619, 'type': 'Trade'}
Test02, Exch0Lit, 102.575,148,1,AAAA,AA, {'party2': 'B03', 'party1': 'S02', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.5750000000062, 'type': 'Trade'}
Test02, Exch0Lit, 102.75,148,1,AAAA,MLOFI, {'party2': 'B03', 'party1': 'S11', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.75000000000624, 'type': 'Trade'}
Test02, Exch0Lit, 102.825,148,1,AAAA,AA, {'party2': 'B03', 'party1': 'S01', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.82500000000626, 'type': 'Trade'}
Test02, Exch0Lit, 102.85,148,1,AAAA,MLOFI, {'party2': 'B03', 'party1': 'S19', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.85000000000626, 'type': 'Trade'}
Test02, Exch0Lit, 103.55,149,1,AAAA,MLOFI, {'party2': 'B14', 'party1': 'S09', 'price': 149, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.55000000000642, 'type': 'Trade'}
Test02, Exch0Lit, 103.75,148,1,AAAA,MLOFI, {'party2': 'B03', 'party1': 'S16', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.75000000000647, 'type': 'Trade'}
Test02, Exch0Lit, 104.025,148,1,AAAA,AA, {'party2': 'B03', 'party1': 'S07', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 104.02500000000653, 'type': 'Trade'}
Test03, Exch0Lit, 100.35,50,1,AAAA,AA, {'party2': 'B15', 'party1': 'S10', 'price': 50, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.35000000000569, 'type': 'Trade'}
Test03, Exch0Lit, 100.425,50,1,AAA,AA, {'party2': 'B06', 'party1': 'S17', 'price': 50, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.42500000000571, 'type': 'Trade'}
Test03, Exch0Lit, 100.475,51,1,AAA,MLOFI, {'party2': 'B03', 'party1': 'S13', 'price': 51, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.47500000000572, 'type': 'Trade'}
Test03, Exch0Lit, 100.5,76,1,AAAA,AA, {'party2': 'B04', 'party1': 'S12', 'price': 76, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.50000000000573, 'type': 'Trade'}
Test03, Exch0Lit, 100.625,96,1,AAAA,MLOFI, {'party2': 'B11', 'party1': 'S14', 'price': 96, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.62500000000576, 'type': 'Trade'}
Test03, Exch0Lit, 100.675,135,1,AAA,MLOFI, {'party2': 'B07', 'party1': 'S02', 'price': 135, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.67500000000577, 'type': 'Trade'}
Test03, Exch0Lit, 100.85,86,1,AAA,AA, {'party2': 'B02', 'party1': 'S19', 'price': 86, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.8500000000058, 'type': 'Trade'}
Test03, Exch0Lit, 100.875,104,1,AAAA,MLOFI, {'party2': 'B11', 'party1': 'S15', 'price': 104, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.87500000000581, 'type': 'Trade'}
Test03, Exch0Lit, 100.925,94,1,AAAA,MLOFI, {'party2': 'B19', 'party1': 'S11', 'price': 94, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.92500000000582, 'type': 'Trade'}
Test03, Exch0Lit, 101.025,114,1,AAAA,AA, {'party2': 'B13', 'party1': 'S08', 'price': 114, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.02500000000585, 'type': 'Trade'}
Test03, Exch0Lit, 101.075,76,1,AAAA,AA, {'party2': 'B19', 'party1': 'S09', 'price': 76, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.07500000000586, 'type': 'Trade'}
Test03, Exch0Lit, 101.1,146,1,AAA,MLOFI, {'party2': 'B18', 'party1': 'S04', 'price': 146, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.10000000000586, 'type': 'Trade'}
Test03, Exch0Lit, 101.15,76,1,AAAA,AA, {'party2': 'B19', 'party1': 'S18', 'price': 76, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.15000000000587, 'type': 'Trade'}
Test03, Exch0Lit, 101.175,76,1,AAAA,AA, {'party2': 'B19', 'party1': 'S05', 'price': 76, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.17500000000588, 'type': 'Trade'}
Test03, Exch0Lit, 101.425,127,1,AAAA,AA, {'party2': 'B04', 'party1': 'S00', 'price': 127, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.42500000000594, 'type': 'Trade'}
Test03, Exch0Lit, 101.85,141,1,AAAA,AA, {'party2': 'B17', 'party1': 'S16', 'price': 141, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.85000000000603, 'type': 'Trade'}
Test03, Exch0Lit, 104.25,149,1,AAAA,MLOFI, {'party2': 'B09', 'party1': 'S03', 'price': 149, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 104.25000000000658, 'type': 'Trade'}
Test03, Exch0Lit, 104.325,148,1,AAAA,MLOFI, {'party2': 'B16', 'party1': 'S07', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 104.3250000000066, 'type': 'Trade'}
Test03, Exch0Lit, 104.4,148,1,AAAA,MLOFI, {'party2': 'B16', 'party1': 'S01', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 104.40000000000661, 'type': 'Trade'}
Test03, Exch0Lit, 104.6,147,1,AAAA,MLOFI, {'party2': 'B10', 'party1': 'S06', 'price': 147, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 104.60000000000666, 'type': 'Trade'}
Test04, Exch0Lit, 100.225,52,1,AAA,MLOFI, {'party2': 'B16', 'party1': 'S04', 'price': 52, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.22500000000566, 'type': 'Trade'}
Test04, Exch0Lit, 100.25,56,1,AAAA,AA, {'party2': 'B13', 'party1': 'S03', 'price': 56, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.25000000000567, 'type': 'Trade'}
Test04, Exch0Lit, 100.275,59,1,AAA,AA, {'party2': 'B09', 'party1': 'S17', 'price': 59, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.27500000000568, 'type': 'Trade'}
Test04, Exch0Lit, 100.325,60,1,AAAA,AA, {'party2': 'B15', 'party1': 'S13', 'price': 60, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.32500000000569, 'type': 'Trade'}
Test04, Exch0Lit, 100.375,64,1,AAAA,AA, {'party2': 'B12', 'party1': 'S09', 'price': 64, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.3750000000057, 'type': 'Trade'}
