Test53, 000200, AA, 460, 10, 46.000000, AAA, 594, 10, 59.400000, AAAA, 543, 10, 54.300000, MLOFI, 403, 10, 40.300000, 147, N, 
Test54, 000200, AA, 452, 10, 45.200000, AAA, 601, 10, 60.100000, AAAA, 504, 10, 50.400000, MLOFI, 443, 10, 44.300000, 148, N, 
Test55, 000200, AA, 420, 10, 42.000000, AAA, 210, 10, 21.000000, AAAA, 451, 10, 45.100000, MLOFI, 919, 10, 91.900000, 148, N, 
Test56, 000200, AA, 868, 10, 86.800000, AAA, 50, 10, 5.000000, AAAA, 144, 10, 14.400000, MLOFI, 938, 10, 93.800000, 148, N, 
Test57, 000200, AA, 516, 10, 51.600000, AAA, 452, 10, 45.200000, AAAA, 631, 10, 63.100000, MLOFI, 401, 10, 40.100000, 148, N, 
Test58, 000200, AA, 709, 10, 70.900000, AAA, 43, 10, 4.300000, AAAA, 430, 10, 43.000000, MLOFI, 818, 10, 81.800000, 148, N, 
Test59, 000200, AA, 898, 10, 89.800000, AAA, 32, 10, 3.200000, AAAA, 86, 10, 8.600000, MLOFI, 984, 10, 98.400000, 148, N, 
Test60, 000200, AA, 484, 10, 48.400000, AAA, 298, 10, 29.800000, AAAA, 467, 10, 46.700000, MLOFI, 751, 10, 75.100000, 148, N, 
Test61, 000200, AA, 785, 10, 78.500000, AAA, 133, 10, 13.300000, AAAA, 166, 10, 16.600000, MLOFI, 916, 10, 91.600000, 148, N, 
Test62, 000200, AA, 902, 10, 90.200000, AAA, 55, 10, 5.500000, AAAA, 85, 10, 8.500000, MLOFI, 958, 10, 95.800000, 148, N, 
Test63, 000200, AA, 571, 10, 57.100000, AAA, 309, 10, 30.900000, AAAA, 453, 10, 45.300000, MLOFI, 667, 10, 66.700000, 143, N, 
Test64, 000200, AA, 548, 10, 54.800000, AAA, 241, 10, 24.100000, AAAA, 443, 10, 44.300000, MLOFI, 768, 10, 76.800000, 148, N, 
Test65, 000200, AA, 980, 10, 98.000000, AAA, 1, 10, 0.100000, AAAA, 34, 10, 3.400000, MLOFI, 985, 10, 98.500000, 148, N, 
Test66, 000200, AA, 936, 10, 93.600000, AAA, 48, 10, 4.800000, AAAA, 34, 10, 3.400000, MLOFI, 982, 10, 98.200000, 148, N, 
Test67, 000200, AA, 572, 10, 57.200000, AAA, 559, 10, 55.900000, AAAA, 330, 10, 33.000000, MLOFI, 539, 10, 53.900000, 148, N, 
