Date,Close,% Change,% Change vs Average,Volume,,,
2025-02-11T07:15:00.000Z,"98,405.07",0.02,0.02,0,,,
2025-02-11T07:20:00.000Z,"98,351.49",-0.05,-0.05,"67,559,424",,,
2025-02-11T07:25:00.000Z,"98,410.85",0.06,0.06,0,,,
2025-02-11T07:30:00.000Z,"98,399.29",-0.01,-0.01,"730,845,184",,,
2025-02-11T07:35:00.000Z,"98,380.23",-0.02,-0.02,0,,,
2025-02-11T07:40:00.000Z,"98,445.07",0.07,0.07,"6,324,224",,,
2025-02-11T07:45:00.000Z,"98,388.95",-0.06,-0.06,0,,,
2025-02-11T07:50:00.000Z,"98,317.98",-0.07,-0.07,0,,,
2025-02-11T07:55:00.000Z,"98,307.63",-0.01,-0.01,"1,054,081,024",,,
2025-02-11T08:00:00.000Z,"98,297.38",-0.01,-0.01,0,,,
2025-02-11T08:05:00.000Z,"98,275.45",-0.02,-0.02,"1,740,992,512",,,
2025-02-11T08:10:00.000Z,"98,204.38",-0.07,-0.07,0,,,
2025-02-11T08:15:00.000Z,"98,224.72",0.02,0.02,"340,643,840",,,
2025-02-11T08:20:00.000Z,"98,201.85",-0.02,-0.02,"50,044,928",,,
2025-02-11T08:25:00.000Z,"98,130.39",-0.07,-0.07,0,,,
2025-02-11T08:30:00.000Z,"98,235.86",0.11,0.11,"251,904",,,
2025-02-11T08:35:00.000Z,"98,303.32",0.07,0.07,0,,,
2025-02-11T08:40:00.000Z,"98,305.74",0,0,0,,,
2025-02-11T08:45:00.000Z,"98,224.30",-0.08,-0.08,"24,801,280",,,
2025-02-11T08:50:00.000Z,"98,212.23",-0.01,-0.01,"697,477,120",,,
2025-02-11T08:55:00.000Z,"98,236.52",0.02,0.03,0,,,
2025-02-11T09:00:00.000Z,"98,284.16",0.05,0.05,"592,011,264",,,
2025-02-11T09:05:00.000Z,"98,276.60",-0.01,-0.01,"86,515,712",,,
2025-02-11T09:10:00.000Z,"98,312.38",0.04,0.04,0,,,
2025-02-11T09:15:00.000Z,"98,240.20",-0.07,-0.07,0,,,
2025-02-11T09:20:00.000Z,"98,196.31",-0.04,-0.04,0,,,
2025-02-11T09:25:00.000Z,"98,217.69",0.02,0.02,0,,,
2025-02-11T09:30:00.000Z,"98,158.04",-0.06,-0.06,0,,,
2025-02-11T09:35:00.000Z,"98,089.50",-0.07,-0.07,0,,,
2025-02-11T09:40:00.000Z,"98,028.61",-0.06,-0.06,0,,,
2025-02-11T09:45:00.000Z,"98,119.87",0.09,0.09,"764,782,592",,,
