Date,Close,% Change,% Change vs Average,Volume
2025-02-10T02:30:00.000Z,"95,809.06",0.23,0.23,0
2025-02-10T02:35:00.000Z,"95,672.12",-0.14,-0.14,"886,509,568"
2025-02-10T02:40:00.000Z,"95,884.04",0.22,0.22,0
2025-02-10T02:45:00.000Z,"95,828.82",-0.06,-0.06,"476,276,736"
2025-02-10T02:50:00.000Z,"95,752.34",-0.08,-0.08,"47,738,880"
2025-02-10T02:55:00.000Z,"95,813.84",0.06,0.07,"802,662,400"
2025-02-10T03:00:00.000Z,"95,837.98",0.03,0.03,0
2025-02-10T03:05:00.000Z,"95,953.27",0.12,0.12,0
2025-02-10T03:10:00.000Z,"96,015.80",0.07,0.07,"210,442,240"
2025-02-10T03:15:00.000Z,"96,096.85",0.08,0.09,"783,640,576"
2025-02-10T03:20:00.000Z,"96,137.03",0.04,0.04,"28,878,848"
2025-02-10T03:25:00.000Z,"96,379.54",0.25,0.25,0
2025-02-10T03:30:00.000Z,"96,800.47",0.44,0.44,"330,610,688"
2025-02-10T03:35:00.000Z,"97,039.66",0.25,0.25,"262,414,336"
2025-02-10T03:40:00.000Z,"97,072.09",0.03,0.03,0
2025-02-10T03:45:00.000Z,"96,862.91",-0.22,-0.21,"1,145,872,384"
2025-02-10T03:50:00.000Z,"96,817.11",-0.05,-0.05,0
2025-02-10T03:55:00.000Z,"96,770.85",-0.05,-0.05,"46,258,176"
2025-02-10T04:00:00.000Z,"96,675.20",-0.1,-0.1,"66,230,272"
2025-02-10T04:05:00.000Z,"96,921.17",0.25,0.26,"774,539,264"
2025-02-10T04:10:00.000Z,"96,951.30",0.03,0.03,"73,703,424"
2025-02-10T04:15:00.000Z,"96,931.33",-0.02,-0.02,0
2025-02-10T04:20:00.000Z,"96,917.21",-0.01,-0.01,0
2025-02-10T04:25:00.000Z,"97,016.16",0.1,0.1,"827,398,144"
2025-02-10T04:30:00.000Z,"97,081.25",0.07,0.07,"34,224,128"
2025-02-10T04:35:00.000Z,"96,951.69",-0.13,-0.13,"7,282,688"
2025-02-10T04:40:00.000Z,"96,849.08",-0.11,-0.1,0
2025-02-10T04:45:00.000Z,"96,858.22",0.01,0.01,"137,445,376"
2025-02-10T04:50:00.000Z,"96,943.88",0.09,0.09,0
2025-02-10T04:55:00.000Z,"96,911.33",-0.03,-0.03,"921,839,616"
2025-02-10T05:00:00.000Z,"96,999.13",0.09,0.09,0
2025-02-10T05:05:00.000Z,"96,840.66",-0.16,-0.16,"810,147,840"
2025-02-10T05:10:00.000Z,"97,115.87",0.28,0.29,0
2025-02-10T05:15:00.000Z,"97,057.52",-0.06,-0.06,"60,657,664"
2025-02-10T05:20:00.000Z,"96,986.80",-0.07,-0.07,"223,782,912"
2025-02-10T05:25:00.000Z,"97,047.11",0.06,0.06,"736,188,416"
2025-02-10T05:30:00.000Z,"97,038.38",-0.01,-0.01,"106,405,888"
2025-02-10T05:35:00.000Z,"96,969.34",-0.07,-0.07,"95,588,352"
2025-02-10T05:40:00.000Z,"97,160.20",0.2,0.2,0
2025-02-10T05:45:00.000Z,"97,411.05",0.26,0.26,"448,016,384"
2025-02-10T05:50:00.000Z,"97,564.16",0.16,0.16,"136,933,376"
2025-02-10T05:55:00.000Z,"97,005.68",-0.57,-0.57,"823,652,352"
2025-02-10T06:00:00.000Z,"97,107.54",0.11,0.11,"240,730,112"
2025-02-10T06:05:00.000Z,"97,051.26",-0.06,-0.06,0
2025-02-10T06:10:00.000Z,"96,820.95",-0.24,-0.24,"60,403,712"
2025-02-10T06:15:00.000Z,"96,920.03",0.1,0.1,"475,852,800"
2025-02-10T06:20:00.000Z,"96,970.10",0.05,0.05,"608,194,560"
2025-02-10T06:25:00.000Z,"97,047.63",0.08,0.08,"214,716,416"
2025-02-10T06:30:00.000Z,"97,190.35",0.15,0.15,0
2025-02-10T06:35:00.000Z,"97,118.63",-0.07,-0.07,"319,262,720"
2025-02-10T06:40:00.000Z,"97,075.89",-0.04,-0.04,"54,501,376"
2025-02-10T06:45:00.000Z,"97,148.59",0.07,0.08,"24,588,288"
2025-02-10T06:50:00.000Z,"97,136.91",-0.01,-0.01,0
2025-02-10T06:55:00.000Z,"97,148.75",0.01,0.01,"85,889,024"
2025-02-10T07:00:00.000Z,"97,335.86",0.19,0.19,"32,870,400"
2025-02-10T07:05:00.000Z,"97,357.05",0.02,0.02,"105,906,176"
2025-02-10T07:10:00.000Z,"97,283.17",-0.08,-0.07,"69,521,408"
2025-02-10T07:15:00.000Z,"97,178.40",-0.11,-0.11,0
2025-02-10T07:20:00.000Z,"97,163.98",-0.01,-0.01,"73,412,608"
2025-02-10T07:25:00.000Z,"97,170.32",0.01,0.01,0
2025-02-10T07:30:00.000Z,"97,320.80",0.15,0.16,"590,602,240"
2025-02-10T07:35:00.000Z,"97,297.16",-0.02,-0.02,"269,189,120"
2025-02-10T07:40:00.000Z,"97,324.85",0.03,0.03,"73,883,648"
2025-02-10T07:45:00.000Z,"97,298.11",-0.03,-0.03,0
2025-02-10T07:50:00.000Z,"97,442.21",0.15,0.15,"116,633,600"
2025-02-10T07:55:00.000Z,"97,453.52",0.01,0.01,"143,728,640"
2025-02-10T08:00:00.000Z,"97,423.18",-0.03,-0.03,"163,442,688"
2025-02-10T08:05:00.000Z,"97,745.77",0.33,0.33,0
2025-02-10T08:10:00.000Z,"97,761.19",0.02,0.02,"1,210,241,024"
2025-02-10T08:15:00.000Z,"97,712.91",-0.05,-0.05,0
2025-02-10T08:20:00.000Z,"97,687.33",-0.03,-0.03,"768,917,504"
2025-02-10T08:25:00.000Z,"97,700.44",0.01,0.01,"170,782,720"
2025-02-10T08:30:00.000Z,"97,609.16",-0.09,-0.09,"50,995,200"
2025-02-10T08:35:00.000Z,"97,718.66",0.11,0.11,0
2025-02-10T08:40:00.000Z,"97,847.35",0.13,0.13,0
2025-02-10T08:45:00.000Z,"97,763.32",-0.09,-0.08,"699,449,344"
2025-02-10T08:50:00.000Z,"97,757.68",-0.01,0,"180,117,504"
2025-02-10T08:55:00.000Z,"97,727.54",-0.03,-0.03,"86,085,632"
2025-02-10T09:00:00.000Z,"97,766.27",0.04,0.04,0
2025-02-10T09:05:00.000Z,"97,780.66",0.01,0.02,"53,211,136"
2025-02-10T09:10:00.000Z,"97,746.02",-0.04,-0.03,0
2025-02-10T09:15:00.000Z,"97,807.47",0.06,0.06,"147,742,720"
2025-02-10T09:20:00.000Z,"97,869.31",0.06,0.06,0
2025-02-10T09:25:00.000Z,"97,713.49",-0.16,-0.16,"797,614,080"
2025-02-10T09:30:00.000Z,"97,667.34",-0.05,-0.05,"60,272,640"
2025-02-10T09:35:00.000Z,"97,576.74",-0.09,-0.09,0
2025-02-10T09:40:00.000Z,"97,623.78",0.05,0.05,"268,156,928"
2025-02-10T09:45:00.000Z,"97,587.92",-0.04,-0.04,"137,445,376"
2025-02-10T09:50:00.000Z,"97,510.85",-0.08,-0.08,"798,621,696"
2025-02-10T09:55:00.000Z,"97,679.53",0.17,0.17,0
2025-02-10T10:00:00.000Z,"97,647.64",-0.03,-0.03,"762,408,960"
2025-02-10T10:05:00.000Z,"97,731.23",0.09,0.09,0
2025-02-10T10:10:00.000Z,"97,833.17",0.1,0.11,0
2025-02-10T10:15:00.000Z,"97,870.30",0.04,0.04,"1,977,581,568"
2025-02-10T10:20:00.000Z,"97,899.13",0.03,0.03,"197,783,552"
2025-02-10T10:25:00.000Z,"97,928.13",0.03,0.03,"194,392,064"
2025-02-10T10:30:00.000Z,"97,881.68",-0.05,-0.05,0
2025-02-10T10:35:00.000Z,"97,819.48",-0.06,-0.06,0
2025-02-10T10:40:00.000Z,"97,753.66",-0.07,-0.07,"1,753,088"
2025-02-10T10:45:00.000Z,"97,804.69",0.05,0.05,"138,788,864"
2025-02-10T10:50:00.000Z,"97,810.96",0.01,0.01,0
2025-02-10T10:55:00.000Z,"97,764.02",-0.05,-0.05,"841,285,632"
2025-02-10T11:00:00.000Z,"97,685.34",-0.08,-0.08,0
2025-02-10T11:05:00.000Z,"97,842.16",0.16,0.16,0
2025-02-10T11:10:00.000Z,"97,745.39",-0.1,-0.1,0
2025-02-10T11:15:00.000Z,"97,743.25",0,0,0
2025-02-10T11:20:00.000Z,"97,832.87",0.09,0.09,"710,971,392"
2025-02-10T11:25:00.000Z,"97,853.42",0.02,0.02,"98,697,216"
2025-02-10T11:30:00.000Z,"97,861.27",0.01,0.01,0
2025-02-10T11:35:00.000Z,"97,861.35",0,0,0
2025-02-10T11:40:00.000Z,"97,822.35",-0.04,-0.04,"638,746,624"
2025-02-10T11:45:00.000Z,"97,846.35",0.02,0.03,"57,139,200"
2025-02-10T11:50:00.000Z,"97,783.94",-0.06,-0.06,0
2025-02-10T11:55:00.000Z,"97,691.33",-0.09,-0.09,0
2025-02-10T12:00:00.000Z,"97,771.77",0.08,0.08,0
2025-02-10T12:05:00.000Z,"97,744.60",-0.03,-0.03,"103,890,944"
2025-02-10T12:10:00.000Z,"97,634.79",-0.11,-0.11,"528,363,520"
2025-02-10T12:15:00.000Z,"97,603.05",-0.03,-0.03,"105,095,168"
2025-02-10T12:20:00.000Z,"97,644.01",0.04,0.04,"14,331,904"
2025-02-10T12:25:00.000Z,"97,551.23",-0.1,-0.09,0
2025-02-10T12:30:00.000Z,"97,464.06",-0.09,-0.09,0
2025-02-10T12:35:00.000Z,"97,310.46",-0.16,-0.16,"84,119,552"
2025-02-10T12:40:00.000Z,"97,344.21",0.03,0.04,"305,700,864"
2025-02-10T12:45:00.000Z,"97,270.60",-0.08,-0.07,"616,001,536"
2025-02-10T12:50:00.000Z,"97,422.38",0.16,0.16,"17,391,616"
2025-02-10T12:55:00.000Z,"97,348.17",-0.08,-0.07,0
2025-02-10T13:00:00.000Z,"97,426.82",0.08,0.08,"690,958,336"
2025-02-10T13:05:00.000Z,"97,455.44",0.03,0.03,0
2025-02-10T13:10:00.000Z,"97,608.10",0.16,0.16,0
2025-02-10T13:15:00.000Z,"97,503.27",-0.11,-0.11,0
2025-02-10T13:20:00.000Z,"97,522.87",0.02,0.02,"915,030,016"
2025-02-10T13:25:00.000Z,"97,537.14",0.01,0.02,0
2025-02-10T13:30:00.000Z,"97,481.37",-0.06,-0.06,0
2025-02-10T13:35:00.000Z,"97,503.16",0.02,0.02,0
2025-02-10T13:40:00.000Z,"97,823.01",0.33,0.33,0
2025-02-10T13:45:00.000Z,"97,893.94",0.07,0.07,"151,183,360"
2025-02-10T13:50:00.000Z,"97,960.12",0.07,0.07,"97,968,128"
2025-02-10T13:55:00.000Z,"98,311.41",0.36,0.36,"39,288,832"
2025-02-10T14:00:00.000Z,"98,093.23",-0.22,-0.22,"181,219,328"
2025-02-10T14:05:00.000Z,"97,898.43",-0.2,-0.2,0
2025-02-10T14:10:00.000Z,"97,770.51",-0.13,-0.13,"350,347,264"
2025-02-10T14:15:00.000Z,"97,711.89",-0.06,-0.06,"19,947,520"
2025-02-10T14:20:00.000Z,"97,645.57",-0.07,-0.07,0
2025-02-10T14:25:00.000Z,"97,738.23",0.09,0.1,"1,142,005,760"
2025-02-10T14:30:00.000Z,"97,861.32",0.13,0.13,0
2025-02-10T14:35:00.000Z,"97,492.19",-0.38,-0.38,0
2025-02-10T14:40:00.000Z,"97,411.30",-0.08,-0.08,"684,224,512"
2025-02-10T14:45:00.000Z,"97,332.18",-0.08,-0.08,"826,712,064"
2025-02-10T14:50:00.000Z,"97,424.63",0.09,0.1,"123,789,312"
2025-02-10T14:55:00.000Z,"97,347.20",-0.08,-0.08,"408,899,584"
2025-02-10T15:00:00.000Z,"97,379.71",0.03,0.03,"35,262,464"
2025-02-10T15:05:00.000Z,"97,366.84",-0.01,-0.01,"106,782,720"
2025-02-10T15:10:00.000Z,"97,528.14",0.17,0.17,"185,462,784"
2025-02-10T15:15:00.000Z,"97,443.37",-0.09,-0.09,"102,354,944"
2025-02-10T15:20:00.000Z,"97,381.48",-0.06,-0.06,0
2025-02-10T15:25:00.000Z,"97,148.26",-0.24,-0.24,0
2025-02-10T15:30:00.000Z,"97,215.41",0.07,0.07,"1,681,711,104"
2025-02-10T15:35:00.000Z,"97,017.91",-0.2,-0.2,0
2025-02-10T15:40:00.000Z,"96,997.09",-0.02,-0.02,"454,832,128"
2025-02-10T15:45:00.000Z,"97,039.69",0.04,0.05,"771,969,024"
2025-02-10T15:50:00.000Z,"97,132.81",0.1,0.1,0
2025-02-10T15:55:00.000Z,"97,230.66",0.1,0.1,0
2025-02-10T16:00:00.000Z,"97,244.01",0.01,0.01,"141,758,464"
2025-02-10T16:05:00.000Z,"97,259.45",0.02,0.02,0
2025-02-10T16:10:00.000Z,"97,272.16",0.01,0.01,"1,222,082,560"
2025-02-10T16:15:00.000Z,"97,103.09",-0.17,-0.17,"139,202,560"
2025-02-10T16:20:00.000Z,"97,070.93",-0.03,-0.03,0
2025-02-10T16:25:00.000Z,"97,087.55",0.02,0.02,"52,326,400"
2025-02-10T16:30:00.000Z,"97,026.41",-0.06,-0.06,0
2025-02-10T16:35:00.000Z,"96,950.77",-0.08,-0.08,"90,456,064"
2025-02-10T16:40:00.000Z,"97,120.83",0.18,0.18,"744,660,992"
2025-02-10T16:45:00.000Z,"97,198.19",0.08,0.08,"107,253,760"
2025-02-10T16:50:00.000Z,"97,333.32",0.14,0.14,0
